input,output,category,confidence
salud,Solo tengo conocimiento sobre esta plataforma educativa. ¿Te gustaría aprender matemáticas de forma interactiva con gestos de manos?,out_of_context,
tecnología general,Mi enfoque está en esta plataforma educativa específica que usa IA para reconocer gestos matemáticos. ¿Quieres saber más sobre cómo funciona?,out_of_context,
facebook,"No tengo información sobre redes sociales, solo sobre esta plataforma educativa. ¿Te interesa aprender matemáticas con reconocimiento de gestos?",out_of_context,
instagram,Mi conocimiento se centra en esta plataforma de aprendizaje matemático. ¿Quieres saber cómo usar gestos para resolver operaciones?,out_of_context,
whatsapp,Solo puedo ayudarte con esta plataforma educativa de matemáticas. ¿Te gustaría conocer cómo funciona el entrenamiento de gestos?,out_of_context,
google,Mi especialidad es esta plataforma específica de matemáticas con gestos. ¿Prefieres que te explique cómo usar la cámara para aprender?,out_of_context,
youtube,"No tengo información sobre otras plataformas, solo sobre esta de matemáticas educativas. ¿Te interesa probar nuestros cursos interactivos?",out_of_context,
cómo registro números,"Para registrar números, ve a /arithmetic, activa tu cámara, y muestra números del 0 al 9 con tus dedos. La IA los reconocerá automáticamente y podrás entrenar la precisión.",specific_questions,
no funciona la cámara,"Si la cámara no funciona: 1) Verifica permisos del navegador, 2) Asegúrate de tener buena iluminación, 3) Mantén las manos visibles, 4) Prueba en /arithmetic para calibrar el sistema.",specific_questions,
cómo hacer sumas,"Para hacer sumas con gestos: 1) Ve a /arithmetic, 2) Muestra el primer número con una mano, 3) Muestra el segundo número con la otra mano, 4) La plataforma calculará automáticamente el resultado.",specific_questions,
ver mi progreso,"Tu progreso está en /dashboard donde puedes ver: gestos entrenados, precisión alcanzada, cursos completados, tiempo de práctica y estadísticas detalladas de tu aprendizaje.",specific_questions,
qué cursos hay,"Los cursos disponibles están en /courses/:slug e incluyen: Aritmética Básica, Álgebra Elemental, Geometría Interactiva, Fracciones y Decimales, y Matemáticas Avanzadas. Todos con reconocimiento de gestos.",specific_questions,
problemas técnicos,"Para problemas técnicos: 1) Verifica tu conexión, 2) Actualiza el navegador, 3) Permite acceso a la cámara, 4) Usa buena iluminación, 5) Contacta soporte desde /admin si persiste el problema.",specific_questions,
entrenar mejor,"Para entrenar mejor: 1) Usa buena iluminación, 2) Mantén las manos estables, 3) Practica cada número varias veces, 4) Verifica la precisión en /models, 5) Sé consistente con los gestos.",specific_questions,
niveles disponibles,"Tenemos múltiples niveles: Principiante (números básicos), Intermedio (operaciones simples), Avanzado (cálculos complejos), y Experto (matemáticas avanzadas). Cada uno se adapta a tu progreso.",specific_questions,
guardar progreso,"Tu progreso se guarda automáticamente en /models donde puedes ver todos tus modelos entrenados, estadísticas de precisión y rendimiento de reconocimiento de gestos.",specific_questions,
cambiar idioma,"Actualmente la plataforma está en español. Para otras opciones de idioma, ve a configuración en /admin o contacta soporte para solicitar nuevos idiomas.",specific_questions,
usar sin internet,"Algunas funciones básicas funcionan offline, pero para reconocimiento de gestos en tiempo real y sincronización de progreso necesitas conexión a internet estable.",specific_questions,
compartir progreso,"Puedes compartir tu progreso desde /dashboard donde tienes opciones para exportar estadísticas, generar reportes de aprendizaje y mostrar tus logros.",specific_questions,
resetear datos,"Para resetear tus datos, ve a /admin, busca la opción de configuración de cuenta, y selecciona 'Reiniciar progreso'. Esto borrará todos tus modelos entrenados.",specific_questions,
contactar soporte,"Para contactar soporte: 1) Ve a /admin, 2) Busca 'Centro de Ayuda', 3) Envía tu consulta con detalles del problema, 4) Recibirás respuesta en 24-48 horas.",specific_questions,
requisitos sistema,"Requisitos: navegador moderno (Chrome, Firefox, Safari, Edge), cámara web funcional, conexión a internet, JavaScript habilitado, y buena iluminación para reconocimiento de gestos.",specific_questions,
cómo sumar,"¡Excelente pregunta sobre sumas! En nuestra plataforma, para sumar con gestos: 1) Ve a /arithmetic, 2) Muestra el primer número con una mano, 3) Muestra el segundo con la otra, 4) La IA calcula automáticamente. ¡Es súper visual!",arithmetic,
enseñar suma,"La suma con gestos es revolucionaria: muestra 2 dedos con la mano izquierda y 3 con la derecha, ¡el resultado aparece automáticamente! Es perfecto para aprendizaje visual en /arithmetic.",arithmetic,
practicar sumas,"¡Perfecto! Para practicar sumas con gestos en nuestra plataforma: activa la cámara en /arithmetic, muestra números con las manos, y la IA reconoce y calcula. ¿Empezamos?",arithmetic,
cómo restar,"Para restar con gestos en la plataforma: muestra el número mayor con los dedos, luego indica la cantidad a restar. Es muy visual y está disponible en /arithmetic.",arithmetic,
enseñar resta,La resta es quitar o reducir. Con gestos es como contar hacia atrás. Empiezas con todos los dedos arriba y vas bajando. ¡Es súper intuitivo!,arithmetic,
practicar restas,"¡Genial! La resta con gestos es muy visual. Imagínate: tienes 4 galletas y te comes 2. Con gestos muestras 4 dedos, bajas 2, y ves que quedan 2.",arithmetic,
operaciones básicas,"Las operaciones básicas incluyen suma, resta, multiplicación y división. Con gestos puedes practicar sumas y restas de forma visual e interactiva usando tu cámara.",arithmetic,
matemáticas,"Las matemáticas son la base del conocimiento. En nuestra plataforma puedes aprender desde aritmética básica hasta conceptos más avanzados, todo con apoyo visual y gestos.",arithmetic,
números,Los números del 0 al 9 se pueden representar con gestos de manos. La cámara reconoce tus movimientos y los convierte en números para hacer operaciones matemáticas.,arithmetic,
calcular,"Para calcular con gestos, primero entrena los números del 0 al 9, luego usa la cámara para mostrar números que quieres operar. El sistema calcula automáticamente el resultado.",arithmetic,
entrenar gestos,"Para entrenar gestos en nuestra plataforma: 1) Ve a /arithmetic, 2) Permite acceso a la cámara, 3) Practica números del 0 al 9, 4) La IA aprende tus gestos únicos.",gestures,
reconocimiento gestos,Nuestro sistema de reconocimiento de gestos en /arithmetic usa IA avanzada para interpretar configuraciones de mano. Es muy preciso con buena iluminación.,gestures,
cámara no funciona,"Si la cámara no funciona, verifica: 1) Permisos de cámara en el navegador, 2) Buena iluminación, 3) Que no esté siendo usada por otra aplicación. Los ejercicios con cámara requieren mayor ancho de banda.",gestures,
gestos manos,Los gestos de manos representan números del 0 al 9. Cada configuración de dedos corresponde a un número específico que la cámara puede reconocer automáticamente.,gestures,
entrenar números,"Para entrenar números, ve a la sección Aritmética, activa tu cámara y practica mostrando cada número del 0 al 9 con gestos claros y consistentes.",gestures,
reconocer números,La cámara reconoce números cuando muestras gestos claros con buena iluminación. Asegúrate de que tus manos estén bien visibles y en el área de detección.,gestures,
problemas cámara,"Si tienes problemas con la cámara: 1) Revisa permisos del navegador, 2) Mejora la iluminación, 3) Limpia la lente, 4) Cierra otras aplicaciones que usen la cámara.",gestures,
configurar cámara,"Para configurar la cámara, ve a configuración del navegador, permite acceso a la cámara para este sitio, y asegúrate de tener buena iluminación en tu espacio de trabajo.",gestures,
calidad imagen,"Para mejor calidad de imagen: usa buena iluminación natural o artificial, mantén las manos limpias, evita fondos complejos y mantén una distancia adecuada de la cámara.",gestures,
gestos no reconoce,"Si los gestos no se reconocen: 1) Mejora la iluminación, 2) Haz gestos más claros, 3) Mantén las manos en el área de detección, 4) Entrena nuevamente los números problemáticos.",gestures,
problema técnico,"Para problemas técnicos: 1) Verifica tu conexión a internet, 2) Actualiza tu navegador, 3) Limpia caché y cookies, 4) Reinicia la aplicación. Si persiste, contacta soporte.",technical_support,
no carga,"Si la aplicación no carga: 1) Verifica tu conexión, 2) Cierra otras pestañas del navegador, 3) Desactiva extensiones, 4) Prueba en modo incógnito.",technical_support,
lento,"Si experimenta lentitud: 1) Verifica tu conexión a internet, 2) Cierra otras pestañas del navegador, 3) Los ejercicios con cámara requieren mayor ancho de banda.",technical_support,
error navegador,"Para errores del navegador: 1) Actualiza a la última versión, 2) Habilita JavaScript, 3) Permite cookies, 4) Desactiva bloqueadores de anuncios temporalmente.",technical_support,
compatibilidad,"La plataforma es compatible con Chrome, Firefox, Safari y Edge. Para mejor experiencia usa las versiones más recientes de estos navegadores.",technical_support,
móvil,La plataforma está optimizada para móvil y escritorio con tema oscuro moderno. Funciona bien en tablets y smartphones con cámaras funcionales.,technical_support,
permisos,"Para usar todas las funciones, otorga permisos de cámara y micrófono en tu navegador. Ve a configuración del sitio y habilita estos permisos.",technical_support,
actualizar,"Para actualizar la aplicación, recarga la página (F5 o Ctrl+R). Los cambios se aplican automáticamente sin necesidad de descargas.",technical_support,
respaldo,"Tus datos se guardan automáticamente en la nube. Tu progreso, modelos entrenados y configuraciones están seguros y sincronizados.",technical_support,
seguridad,La plataforma usa encriptación HTTPS y no almacena imágenes de tu cámara. Solo procesa gestos en tiempo real para reconocimiento de números.,technical_support,
qué es la plataforma,Es una plataforma educativa innovadora que combina inteligencia artificial con reconocimiento de gestos para enseñar matemáticas de forma interactiva y divertida.,faq_database,
cómo empezar,"Para empezar: 1) Regístrate o inicia sesión, 2) Ve al panel principal, 3) Elige un curso o actividad, 4) Sigue las instrucciones paso a paso.",faq_database,
es gratis,La plataforma ofrece contenido gratuito básico y cursos premium. Puedes empezar sin costo y actualizar para acceder a funciones avanzadas.,faq_database,
edad mínima,"La plataforma es adecuada para todas las edades, desde niños de 6 años hasta adultos. El contenido se adapta al nivel de cada usuario.",faq_database,
sin cámara,"Aunque la cámara mejora la experiencia, también puedes usar la plataforma con teclado y mouse para algunas actividades básicas.",faq_database,
idiomas,"Actualmente la plataforma está disponible en español, con planes de expansión a otros idiomas según la demanda de usuarios.",faq_database,
offline,"Algunas funciones básicas funcionan offline, pero para reconocimiento de gestos y sincronización necesitas conexión a internet.",faq_database,
privacidad,Respetamos tu privacidad. No almacenamos imágenes de tu cámara y solo procesamos gestos localmente para reconocimiento de números.,faq_database,
soporte,"Nuestro equipo de soporte está disponible 24/7 a través del chat, email y centro de ayuda para resolver cualquier duda o problema.",faq_database,
actualizaciones,"La plataforma se actualiza regularmente con nuevos cursos, funciones y mejoras basadas en feedback de usuarios.",faq_database,
no entiendo,"No te preocupes, estoy aquí para ayudarte. ¿Podrías ser más específico sobre qué parte no entiendes? Puedo explicarte paso a paso.",specific_intents,
muy difícil,Entiendo que puede parecer difícil al principio. Empecemos con algo más básico y avanzamos gradualmente. ¿Qué te parece más complicado?,specific_intents,
muy fácil,"¡Excelente! Si esto te resulta fácil, podemos avanzar a temas más desafiantes. ¿Te interesa probar algo más avanzado?",specific_intents,
aburrido,Entiendo. Probemos algo más interactivo en /arithmetic con la cámara o un enfoque diferente. ¿Prefieres ejercicios más dinámico?,specific_intents,
interesante,¡Me alegra que te parezca interesante! Hay mucho más en /arithmetic y /dashboard. ¿Quieres explorar más funciones?,specific_intents,
ayuda,"¡Por supuesto! Estoy aquí para ayudarte. Puedes preguntarme sobre matemáticas, uso de la plataforma, problemas técnicos o cualquier duda que tengas.",specific_intents,
gracias,"¡De nada! Me alegra ayudarte con esta plataforma. Si tienes más preguntas sobre /arithmetic o quieres continuar aprendiendo, estaré aquí.",specific_intents,
adiós,¡Hasta luego! Espero haberte ayudado. Recuerda que puedes volver cuando quieras para continuar aprendiendo. ¡Que tengas un buen día!,specific_intents,
excelente,"¡Qué bueno que te guste! Sigue así, estás haciendo un gran trabajo. ¿Quieres continuar con más ejercicios o probar algo nuevo?",specific_intents,
perfecto,¡Perfecto! Me alegra ver tu entusiasmo por aprender. Mantén esa actitud positiva y lograrás grandes cosas.,specific_intents,
¿Cuál es la función principal de esta plataforma?,"Esta es una plataforma educativa que enseña y practica operaciones matemáticas usando gestos de las manos y la cámara del dispositivo. Puedes aprender con cursos, entrenar gestos de manos y resolver ejercicios de forma interactiva. ¿Te gustaría que te lleve a la página principal para conocer más?",inicio_presentacion,
Resúmeme de qué se trata,"Se trata de una plataforma educativa innovadora donde puedes aprender matemáticas de forma interactiva usando gestos de tus manos. La cámara reconoce tus movimientos para resolver operaciones. Está pensada para estudiantes, docentes y cualquier persona curiosa por la tecnología educativa. ¿Quieres ver la presentación completa?",inicio_presentacion,
¿Qué experiencia me ofrece este sitio?,"Te ofrece una experiencia de aprendizaje única donde combinas matemáticas con tecnología de reconocimiento de gestos. Puedes entrenar señas con tus manos, resolver ejercicios usando la cámara, seguir cursos guiados y ver tu progreso. Todo con un diseño moderno que funciona en móvil y escritorio. ¿Te interesa empezar?",inicio_presentacion,
Dame una explicación breve del sistema,"Es un sistema educativo que usa tu cámara para reconocer gestos de manos y enseñarte matemáticas de forma interactiva. Puedes entrenar números y operaciones con tus dedos, luego usarlos para resolver ejercicios. Incluye cursos, seguimiento de progreso y una experiencia visual moderna.",inicio_presentacion,
¿Por qué se creó esta aplicación?,"Se creó para hacer el aprendizaje de matemáticas más interactivo y divertido, combinando tecnología de reconocimiento de gestos con educación. Está pensada para estudiantes que quieren una forma innovadora de practicar, docentes que buscan herramientas lúdicas, y personas curiosas por experimentar con reconocimiento de manos.",inicio_presentacion,
Necesito abrir mi cuenta,"Perfecto, puedes crear tu cuenta o iniciar sesión desde la sección de autenticación. El sistema incluye opciones de registro sencillo y también reconocimiento facial como alternativa si está habilitado. ¿Te llevo al área de acceso?",autenticacion,
¿Dónde puedo darme de alta?,Puedes registrarte en la sección de autenticación. Ahí encontrarás las opciones para crear una cuenta nueva con tus datos básicos. El proceso es sencillo y rápido. ¿Quieres que te dirija allí ahora?,autenticacion,
¿Cómo ingreso mis datos de acceso?,En la sección de autenticación puedes ingresar tu correo y contraseña para acceder a tu cuenta. También hay opciones de reconocimiento facial si está configurado. El sistema es seguro y fácil de usar. ¿Te llevo a la pantalla de acceso?,autenticacion,
Muéstrame mi área personal,"Tu área personal es el panel principal donde puedes ver tu progreso, acceder a cursos, revisar actividades recomendadas y gestionar tu aprendizaje. Es tu centro de control con tarjetas de métricas y accesos rápidos. ¿Te llevo a tu panel?",panel_dashboard,
Quiero acceder a mi panel de progreso,"En tu panel de progreso puedes ver todas tus métricas de aprendizaje, cursos en curso, actividades completadas y recomendaciones personalizadas. Es tu vista principal para gestionar tu experiencia educativa. ¿Vamos a tu panel?",panel_dashboard,
¿Dónde veo mis logros?,"Tus logros y avances los puedes ver en tu panel principal. Ahí se muestran tus métricas de progreso, cursos completados y actividades destacadas. Es tu centro de seguimiento personal. ¿Te dirijo a tu panel de logros?",panel_dashboard,
Ver mi progreso diario,"Tu progreso diario se muestra en el panel principal con métricas actualizadas, actividades del día y seguimiento de tu aprendizaje. Puedes ver cuánto has practicado y qué has logrado. ¿Quieres revisar tu progreso ahora?",panel_dashboard,
Quiero probar la sección de aritmética,"¡Excelente! En la sección de aritmética puedes usar tu cámara para entrenar y reconocer gestos de manos. Puedes practicar números, operaciones y resolver ejercicios usando tus dedos. La cámara detecta tus movimientos en tiempo real. ¿Te llevo a practicar?",aritmetica_gestos,
Empezar a hacer cuentas con gestos,"Perfecto, en la sección de aritmética puedes hacer cuentas usando gestos de tus manos. La cámara reconoce números y operaciones que hagas con los dedos. Puedes entrenar nuevos gestos y luego usarlos para resolver ejercicios. ¿Empezamos a practicar?",aritmetica_gestos,
Abrir práctica con cámara,"La práctica con cámara está en la sección de aritmética. Ahí puedes entrenar gestos, probar el reconocimiento en tiempo real y resolver operaciones usando tus manos. Asegúrate de tener buena iluminación y permisos de cámara. ¿Vamos a practicar?",aritmetica_gestos,
Iniciar reconocimiento de manos,El reconocimiento de manos funciona en la sección de aritmética. La cámara detecta tus gestos y los interpreta como números u operaciones. Puedes entrenar nuevos gestos y probar su precisión. ¿Te llevo a iniciar el reconocimiento?,aritmetica_gestos,
Quiero probar mi gesto de número 5,"Puedes probar tu gesto del número 5 en la sección de aritmética. Ahí la cámara reconocerá tu seña y te mostrará la confianza del reconocimiento. Si necesitas mejorarlo, también puedes entrenarlo nuevamente. ¿Vamos a probarlo?",aritmetica_gestos,
Practicar matemáticas usando mis manos,"¡Genial! Puedes practicar matemáticas con tus manos en la sección de aritmética. Usa gestos para representar números y operaciones, la cámara los reconocerá y podrás resolver ejercicios de forma interactiva. ¿Te llevo a practicar ahora?",aritmetica_gestos,
Abrir mis configuraciones de gestos,"Tus configuraciones y gestos guardados están en la sección de modelos. Ahí puedes ver todos los gestos que has entrenado, revisarlos, actualizarlos o eliminar los que no necesites. ¿Quieres revisar tus modelos guardados?",modelos_guardados,
Consultar modelos ya creados,Puedes consultar todos tus modelos y gestos entrenados en la sección de modelos. Ahí tienes tu librería personal de señas y configuraciones guardadas. ¿Te llevo a revisar tus modelos?,modelos_guardados,
¿Dónde están mis registros entrenados?,Tus registros y gestos entrenados están almacenados en la sección de modelos. Es tu colección personal donde puedes gestionar todos los entrenamientos que has realizado. ¿Quieres ver tus registros guardados?,modelos_guardados,
Ver qué modelos ya grabé,Puedes ver todos los modelos que has grabado en la sección de modelos. Ahí está tu catálogo completo de gestos entrenados con opciones para gestionarlos. ¿Te muestro tus modelos guardados?,modelos_guardados,
Abrir contenido de un curso,"Para abrir el contenido de un curso específico, puedes acceder desde tu panel principal donde verás todos los cursos disponibles, o si conoces el nombre exacto, puedo llevarte directamente. ¿Qué curso te interesa o prefieres ver la lista completa?",cursos,
Quiero entrar a la misión de geometría,"Te llevo a la misión de geometría donde encontrarás contenidos específicos, objetivos y ejercicios relacionados. Podrás continuar donde te quedaste y ver tu progreso en esta área. ¿Empezamos con geometría?",cursos,
Ver misiones activas,"Tus misiones activas las puedes ver en tu panel principal, donde se muestran los cursos en progreso y las actividades recomendadas. Desde ahí puedes continuar con cualquier misión pendiente. ¿Revisamos tus misiones activas?",cursos,
Mostrar curso de números enteros,"Te dirijo al curso de números enteros donde encontrarás lecciones específicas sobre este tema, ejercicios prácticos y seguimiento de tu progreso. ¿Empezamos con números enteros?",cursos,
Abrir curso de álgebra básica,"Te llevo al curso de álgebra básica con contenidos introductorios, ejercicios progresivos y actividades interactivas. Podrás aprender paso a paso los conceptos fundamentales. ¿Comenzamos con álgebra?",cursos,
Enséñame qué hay para explorar,"Tienes varias opciones para explorar: puedes practicar gestos con la cámara en Aritmética, ver tu progreso en el Panel, revisar cursos disponibles, o gestionar tus modelos guardados. ¿Qué te interesa más: practicar gestos, ver cursos, o revisar tu progreso?",navegacion_ayuda,
Recomiéndame un lugar donde empezar,"Te recomiendo empezar por tu panel principal para ver las actividades disponibles, o si quieres probar algo nuevo, la sección de aritmética para experimentar con gestos y la cámara. ¿Prefieres ver tu panel o probar los gestos directamente?",navegacion_ayuda,
No sé qué opción elegir,"No te preocupes, puedo ayudarte a decidir. Si es tu primera vez, te sugiero el panel principal para ver las opciones disponibles. Si quieres algo interactivo, prueba los gestos con cámara. Si buscas aprender paso a paso, revisa los cursos. ¿Qué te llama más la atención?",navegacion_ayuda,
Ayúdame a navegar,"Claro, te ayudo a navegar. Las secciones principales son: Panel (tu centro de control), Aritmética (práctica con gestos), Modelos (tus entrenamientos guardados) y Cursos (aprendizaje guiado). ¿Por dónde quieres empezar?",navegacion_ayuda,
¿Qué actividades están disponibles?,"Las actividades disponibles incluyen: entrenar y reconocer gestos con la cámara, seguir cursos de matemáticas, revisar tu progreso y logros, gestionar modelos guardados, y resolver ejercicios interactivos. ¿Cuál te interesa probar primero?",navegacion_ayuda,
Dame sugerencias de secciones,"Te sugiero estas secciones según tu interés: Panel Principal (para ver todo disponible), Aritmética (para práctica interactiva con gestos), Cursos (para aprendizaje estructurado), o Modelos (para gestionar tus entrenamientos). ¿Cuál prefieres explorar?",navegacion_ayuda,
Quiero validar mis credenciales,"Para validar tus credenciales, dirígete a /auth donde encontrarás el formulario de inicio de sesión. Ingresa tu email y contraseña para acceder a tu cuenta personal.",autenticacion,0.9
Haz login conmigo,"Te ayudo con el login: ve a la página /auth, completa el formulario con tu email y contraseña, y podrás acceder a tu panel personalizado.",autenticacion,0.9
Validar acceso,"Para validar tu acceso al sistema, usa el formulario de autenticación en /auth con tus credenciales registradas.",autenticacion,0.9
Entrar al portal de usuario,El portal de usuario está en /auth. Inicia sesión con tu email y contraseña para acceder a todas las funcionalidades personalizadas.,autenticacion,0.9
¿Cómo hago para loguearme?,"Para loguearte: 1) Ve a /auth, 2) Ingresa tu email, 3) Escribe tu contraseña, 4) Haz clic en ""Iniciar sesión"". ¡Así accederás a tu cuenta!",autenticacion,0.9
Mostrar pantalla de acceso,La pantalla de acceso está disponible en /auth. Allí encontrarás los formularios para iniciar sesión o registrarte como nuevo usuario.,autenticacion,0.9
¿Puedo autenticarme con cámara?,"La autenticación se realiza con email y contraseña en /auth. La cámara se usa para el reconocimiento de gestos matemáticos, no para login.",autenticacion,0.9
Hacer registro de usuario,"Para registrarte: ve a /auth, selecciona ""Registrarse"", completa el formulario con email y contraseña, y confirma tu cuenta.",autenticacion,0.9
Ver mis modelos guardados,"Tus modelos guardados están en tu panel personal. Allí puedes ver, cargar y gestionar todos los modelos de gestos que has entrenado.",modelos_guardados,0.9
Cargar modelo anterior,"Para cargar un modelo anterior, ve a la sección ""Modelos guardados"" en tu panel, selecciona el modelo deseado y haz clic en ""Cargar"".",modelos_guardados,0.9
Gestionar mis entrenamientos,"En la sección de modelos guardados puedes gestionar todos tus entrenamientos: ver estadísticas, cargar modelos previos y eliminar los que no necesites.",modelos_guardados,0.9
Historial de modelos,"Tu historial de modelos está disponible en el panel personal. Puedes revisar todos los modelos entrenados, sus fechas y rendimiento.",modelos_guardados,0.9
Eliminar modelo guardado,"Para eliminar un modelo guardado, ve a tu panel de modelos, selecciona el modelo que quieres eliminar y confirma la acción.",modelos_guardados,0.9
Mostrar el seguimiento de mi aprendizaje,"Tu seguimiento de aprendizaje está en el panel de cursos. Allí puedes ver tu progreso en cada misión, estadísticas y logros obtenidos.",cursos,0.9
Ver mi historial de ejercicios,Tu historial de ejercicios está disponible en la sección de cursos. Puedes revisar todos los ejercicios completados y tu rendimiento.,cursos,0.9
Continuar con mi curso,"Para continuar tu curso, ve al panel de cursos donde verás tu progreso actual y podrás retomar desde donde te quedaste.",cursos,0.9
Abrir estadísticas generales,"Las estadísticas generales de tu aprendizaje están en el panel de cursos. Allí verás tu progreso global, tiempo dedicado y logros.",cursos,0.9
Entrar a ejercicios de cámara interactiva,Los ejercicios de cámara interactiva están en la sección de práctica. Allí puedes entrenar gestos matemáticos usando tu cámara web.,aritmetica_gestos,0.8
Ayuda con navegación,"Para navegar: usa el menú principal para acceder a cursos, práctica de gestos, tu panel personal y configuración. ¿Necesitas ayuda con algo específico?",navegacion_ayuda,0.8
Configurar mi perfil,"Para configurar tu perfil, ve a tu panel personal donde puedes actualizar información, preferencias de aprendizaje y configuración de cámara.",panel_dashboard,0.8
Problemas técnicos,"Si tienes problemas técnicos, verifica: 1) Permisos de cámara, 2) Conexión a internet, 3) Navegador actualizado. ¿Cuál es el problema específico?",navegacion_ayuda,0.8
